1-00,Ліки,Medizin
1-01,Хірургія,Chirurgie
1-02,Реанімація ,Reanimation
1-03,Сильні знеболюючі,Starke Schmerzmittel
1-04,Шприци,Spritzen + Nadeln
1-05,Системи для інфузій,Infusionssysteme
1-06,Дезінфекція ран,Wunddesinfektion
1-07,Дезінфекція рук і поверхонь,Hände- und Flächedesinfektion
1-08,Протипростудні,Erkältungsmittel
1-09,Антибіотики,Antibiotika
1-10,Ібупрофен ,Ibuprofen
1-11,Парацетамол ,Paracetamol
1-12,Діабет,Diabetes
1-13,Астма,Asthma
1-14,Інсулін,Insulin
1-15,Кардіологія,Kardiologie
1-16,Аптечки,Erste-Hilfe-Sets
1-17,Перев'язка стерильна,steriles Verbandmaterial
1-18,Перев'язка не стерильна,unsteriles Verbandmaterial
1-19,Інфузійні препарати,Infusionszubereitungen
1-20,Ортопедія,Orthopädie
1-21,Рукавиці медичні,Medizinische handschuhe
1-22,Вітаміни,Vitamine
1-23,Аспірин,Aspirin
1-24,Ліки для дітей,Medikamente für Kinder
1-25,Ліки для шлунку,Magen und Darm
1-26,Ліки для жінок,Medikamente für Frauen
1-27,Ліки для чоловіків,Medikamente für Männer
1-28,Очі + вуха,Augen + Ohren
1-29,Медичні прилади,Medizinische Geräte
1-30,Знеболюючі гелі,Schmerzsalbe
1-31,Дерматологія,Dermatologie
1-32,Нейрологія,Neurologie
1-33,Памперси чоловічі,Wideln Erwachsene
1-34,Інші ліки,Diverse medikamente
1-35,Хірургічні маски,Chirurgische masken
1-36,Знеболюючі,Schmerzmittel
1-37,Парентеральне харчування,Parenterale Ernährung
1-38,Розчин Рінгера,Ringer Lösung
1-39,Хлорид натрію (NaCl),Natriumchlorid (NaCl) 
1-40,Глюкоза,Glucose
1-41,Зондове харчування,Sondennahrung
2-00,Харчування,Lebensmittel
2-01,Консерви,Konserven
2-02,Енергетичні батончики,Müsli- Energieriegel
2-03,Дитяче харчування 0-6 місяців,Babynahrung 0-6 Monate
2-04,Дитяче харчування 6-12 місяців,Babynahrung 6-12 Monate
2-05,Макарони / крупи,Nudeln / Grieß 
2-06,Шоколад / солодке / кава / чай,Schokolade / Süßigkeiten / Kaffee / Tee
2-07,Супи сухі,Instentsuppen
2-08,НЕ ВИКОРИСТОВУЄТЬСЯ Кава / чай,DONT USE Kaffee / Tee
2-09,Їжа для тварин,Tierfutter
2-10,Їжа для передової (набір),Lebensmittelset
2-11,Дитяче харчування 12+ місяців,Babynahrung 12+ Monate
2-12,Дитячі батончики,Kinderriegel
3-00,Гігієна для дорослих,Hygiene Erwachsene
3-01,Жіноча гігієна,Frauenhygiene
3-02,Зубна гігієна для дорослих ,Zahnhygiene
3-03,"Гігієна тіла (шампуні, гель, мило)",Körperhygiäne
3-04,Чоловіча гігієна,Herrenhygiene
3-05,Миючі засоби,Reinigungsmittel
3-06,Туалетний папір /серветки,Klopapier / Servietten
3-07,Памперси для дорослих,Erwachsenenwindeln
4-00,Гігієна для дітей,Hygiene Kinder
4-01,Набір матерям і дітям до 1-го року,Set Mütter und Kinder bis 1 Jahr
4-02,Вологі серветки,feuchte Tücher
4-03,Памперси 1 розмір,Windeln Gr. 1
4-04,Памперси 2 розмір,Windeln Gr. 2
4-05,Памперси 3 розмір,Windeln Gr. 3
4-06,Памперси 4 розмір,Windeln Gr. 4
4-07,Памперси 5 розмір,Windeln Gr. 5
4-08,Памперси 6 розмір,Windeln Gr. 6
4-09,Зубна гігієна (для дітей),Zahnhygiene (Kinder)
4-10,Дитяча гігієна тіла,Körperhygiäne (Kinder)
4-11,Памперси 7 розмір,Windeln Gr. 7
4-12,Дитяча гігієна,Hygiäne (Kinder)
5-00,Кемпинг,Camping
5-01,Ковдри,Decken
5-02,Спальні мішки ,Schlafsäcke
5-03,Каремати ,Isomatten
5-04,Подушки,Kissen
5-05,Рушники,Handtücher
5-06,Постільна білизна,Bettwäsche
6-00,Одяг / Kleidung,
6-01,чоловічі куртки,Herren Jacken
6-02,чоловічі штани /джинси,Herren Hosen / Jeans
6-03,чоловічі кофти/светери,Herren Pullover
6-04,чоловічі футболки / сорочки,Herren T-Schirts / Hemden
6-05,чоловічі шкарпетки,Herren Socken
6-06,чоловічі шарфи / шапки / рукавиці,Herren Mützen / Schals / Handschuhe
6-07,чоловіче взуття до 42,Herren Schuhe bis 42
6-08,чоловіче взуття від 43,Herren Schuhe ab 43
6-09,чоловіча термобілизна,Herren Theromounterwäsche
6-10,чоловіча білизна,Herren Unterwäsche
6-11,чоловчий (мiкс),Herren Mix
6-12,жіночі куртки,Damen Jacken
6-13,жіночі штани /джинси,Damen Hosen / Jeans
6-14,жіночі кофти/светери,Damen Pullover
6-15,жіночі футболки / блузки,Damen T-Schirts / Hemden
6-16,жіночі шкарпетки,Damen Socken
6-17,жіночі шарфи / шапки / рукавиці,Damen Mützen / Schals / Handschuhe
